,DP Cell Line ID
0,ACH-000927
1,ACH-000352
2,ACH-000554
3,ACH-000293
4,ACH-000853
5,ACH-000001
6,ACH-000164
7,ACH-000023
8,ACH-000554
9,ACH-000530
10,ACH-000536
11,ACH-000012
12,ACH-000012
13,ACH-000865
14,ACH-000637
15,ACH-000109
16,ACH-000400
17,ACH-000364
18,ACH-000574
19,ACH-000857
20,ACH-000714
21,ACH-000586
22,ACH-000291
23,ACH-000652
24,ACH-000554
25,ACH-000232
26,ACH-000608
27,ACH-000347
28,ACH-000536
29,ACH-000012
30,ACH-000012
31,ACH-000865
32,ACH-000637
33,ACH-000109
34,ACH-000400
35,ACH-000528
36,ACH-000277
37,ACH-000507
38,ACH-000395
39,ACH-000507
40,ACH-000382
41,ACH-000395
42,ACH-000714
43,ACH-000652
44,ACH-000792
45,ACH-000927
46,ACH-000844
47,ACH-000352
48,ACH-000554
49,ACH-000714
50,ACH-000652
51,ACH-000589
52,ACH-000554
53,ACH-000264
54,ACH-000192
55,ACH-000400
56,ACH-000563
57,ACH-000756
58,ACH-000859
59,ACH-000667
60,ACH-000589
61,ACH-001306
62,ACH-000652
63,ACH-000900
64,ACH-001306
65,ACH-000652
66,ACH-000243
67,ACH-000927
68,ACH-000698
69,ACH-000019
70,ACH-000382
71,ACH-000523
72,ACH-000559
73,ACH-000298
74,ACH-000311
75,ACH-000927
76,ACH-000352
77,ACH-000554
78,ACH-000382
79,ACH-000724
80,ACH-000894
81,ACH-000871
82,ACH-000635
83,ACH-000637
84,ACH-000400
85,ACH-000934
86,ACH-000910
87,ACH-000867
88,ACH-000276
89,ACH-000053
90,ACH-000444
91,ACH-000727
92,ACH-000481
93,ACH-000679
94,ACH-000568
95,ACH-000554
96,ACH-000637
97,ACH-000008
98,ACH-000014
99,ACH-000021
100,ACH-000647
101,ACH-000520
102,ACH-000264
103,ACH-000738
104,ACH-000714
105,ACH-000652
106,ACH-000196
107,ACH-000293
108,ACH-000853
109,ACH-000001
110,ACH-000164
111,ACH-000608
112,ACH-000347
113,ACH-000568
114,ACH-000012
115,ACH-000714
116,ACH-000652
117,ACH-000400
118,ACH-000364
119,ACH-000277
120,ACH-000608
121,ACH-000347
122,ACH-000248
123,ACH-000927
124,ACH-000117
125,ACH-000352
126,ACH-000019
127,ACH-000309
128,ACH-000759
129,ACH-000714
130,ACH-000536
131,ACH-000783
132,ACH-000839
133,ACH-000012
134,ACH-000714
135,ACH-000652
136,ACH-000714
137,ACH-000652
138,ACH-000714
139,ACH-000652
140,ACH-000507
141,ACH-000783
142,ACH-000207
143,ACH-000530
144,ACH-000117
145,ACH-000906
146,ACH-000846
147,ACH-000349
148,ACH-000643
149,ACH-000778
