DepMap_ID,Match_ID
ACH-000927,BT474_BREAST
ACH-001514,HCC1428_BREAST
ACH-000374,HCC1428_BREAST
ACH-000578,HCC1428_BREAST
ACH-000111,HCC1428_BREAST
ACH-000868,HCC1428_BREAST
ACH-000901,HCC1428_BREAST
ACH-000699,HCC1428_BREAST
ACH-000277,HCC1428_BREAST
ACH-000352,HCC1428_BREAST
ACH-000891,HCC1428_BREAST
ACH-000878,HCC1428_BREAST
ACH-000349,HCC1428_BREAST
ACH-000930,HCC1428_BREAST
ACH-001078,HCC1428_BREAST
ACH-000196,HCC1428_BREAST
ACH-000624,HCC1428_BREAST
ACH-000712,HCC1428_BREAST
ACH-001079,HCC1428_BREAST
ACH-000223,HCC1428_BREAST
ACH-000859,HCC1428_BREAST
ACH-002373,HCC1428_BREAST
ACH-002374,HCC1428_BREAST
ACH-002375,HCC1428_BREAST
ACH-002378,HCC1428_BREAST
ACH-002382,HCC1428_BREAST
ACH-002384,HCC1428_BREAST
ACH-000579,UACC893_BREAST
ACH-000425,UACC893_BREAST
ACH-000568,UACC893_BREAST
ACH-000554,UACC893_BREAST
ACH-000293,KLE_ENDOMETRIUM
ACH-000866,NCIH661_LUNG
ACH-000514,NCIH661_LUNG
ACH-000780,NCIH661_LUNG
ACH-000980,NCIH661_LUNG
ACH-000523,NCIH661_LUNG
ACH-000510,NCIH661_LUNG
ACH-000921,NCIH661_LUNG
ACH-000129,NCIH661_LUNG
ACH-000666,NCIH661_LUNG
ACH-000845,NCIH661_LUNG
ACH-000737,NCIH661_LUNG
ACH-000327,NCIH661_LUNG
ACH-001591,NCIH661_LUNG
ACH-000852,NCIH661_LUNG
ACH-000830,NCIH661_LUNG
ACH-000589,NCIH661_LUNG
ACH-000506,NCIH661_LUNG
ACH-000892,NCIH661_LUNG
ACH-000869,NCIH661_LUNG
ACH-000916,NCIH661_LUNG
ACH-000015,NCIH661_LUNG
ACH-000179,NCIH661_LUNG
ACH-000744,NCIH661_LUNG
ACH-000766,NCIH661_LUNG
ACH-000035,NCIH661_LUNG
ACH-000893,NCIH661_LUNG
ACH-000448,NCIH661_LUNG
ACH-000021,NCIH661_LUNG
ACH-000431,NCIH661_LUNG
ACH-000747,NCIH661_LUNG
ACH-000675,NCIH661_LUNG
ACH-000282,NCIH661_LUNG
ACH-001362,NCIH661_LUNG
ACH-000379,NCIH661_LUNG
ACH-000496,NCIH661_LUNG
ACH-000888,NCIH661_LUNG
ACH-000033,NCIH661_LUNG
ACH-000559,NCIH661_LUNG
ACH-000733,NCIH661_LUNG
ACH-000894,NCIH661_LUNG
ACH-001136,NCIH661_LUNG
ACH-000586,NCIH661_LUNG
ACH-000434,NCIH661_LUNG
ACH-000870,NCIH661_LUNG
ACH-000414,NCIH661_LUNG
