Gene,pval,ecDNA dominace
TTC9,0.0005138673015084307,neg
CALU,0.0015084996200116021,pos
NUDT1,0.003550322426189435,neg
PRSS8,0.003550322426189435,neg
BLM,0.004388092556509426,pos
DIDO1,0.005092139302837205,pos
LTO1,0.005092139302837205,neg
CCDC17,0.007113477928991374,neg
FOCAD,0.00796992284878121,pos
ACAP1,0.009042843377849752,neg
AKNA,0.010820361981154585,pos
KIF15,0.010820361981154585,pos
RNF114,0.010969170081947345,pos
KDF1,0.011426563692011142,neg
SARAF,0.0115827474422733,pos
MTHFD2,0.011740822548787114,pos
TPRKB,0.015737547230799804,neg
LARP4B,0.016366331926859275,neg
CDC25A,0.018152195521716322,neg
PRC1,0.018864633599140427,neg
HASPIN,0.019107487711669344,pos
CDK4,0.021150673704736174,pos
PDCD1,0.0251863008177618,pos
SLC25A21,0.026781094376907403,pos
TOGARAM2,0.026781094376907403,pos
DDX27,0.02711031173955439,neg
PDZK1IP1,0.02744301630804186,neg
GNB3,0.02811900438963669,neg
DPAGT1,0.02915987774940317,neg
C8orf58,0.02951412593406008,pos
CFAP65,0.030233738765368084,pos
FAM219A,0.03248371073322765,neg
CXCL17,0.032872321227486616,pos
LEPROTL1,0.03326490522487056,pos
FZD7,0.03366149433832007,pos
USP54,0.03406212032026624,neg
EPOP,0.035288539077754096,neg
NRM,0.03570563282095272,pos
RILPL1,0.03698223065073942,pos
MCM10,0.037416311148417196,neg
IGF2BP3,0.040577943425417325,neg
IK,0.04152183034824112,pos
TPX2,0.04248424260855809,pos
C10orf99,0.04297248140392897,pos
RBMXL1,0.043465454569894264,neg
SPC25,0.043963196699603024,pos
KDELR2,0.04446574250298326,neg
FCGR3A,0.04548538454684007,pos
INTS10,0.04758385262065181,pos
CSTF1,0.04921060334430214,neg
CTSB,0.04976311969864858,neg
STT3A,0.050883766863963495,neg
KCNMA1,0.05145196978815437,pos
MTBP,0.052604315333910634,pos
EEF2,0.05377815626998454,neg
ETV4,0.05557986120057513,pos
CBX7,0.058694339800640365,pos
DRC7,0.058694339800640365,neg
RASGEF1B,0.060631640783697635,pos
KPNA2,0.0646653364237874,pos
PRR29,0.0660581455863376,pos
ATAD2,0.06819362986160922,pos
AGPAT3,0.07263494480596833,neg
CPVL,0.07494284137861217,pos
FAM32A,0.07494284137861217,pos
SKIDA1,0.07494284137861217,neg
SLPI,0.0765144535728373,pos
TRIP13,0.07811283646552196,pos
RIIAD1,0.08056128011887516,neg
CLDN7,0.08478024232062535,neg
METTL5,0.08478024232062535,neg
PIMREG,0.08828259088132104,neg
CCDC25,0.0891761632350107,pos
DEPDC1,0.0891761632350107,neg
SUN1,0.0909851600275504,neg
NOP56,0.09190066148927861,neg
EGFR,0.09375386292567402,neg
MSL1,0.09563691856334443,neg
PDRG1,0.09563691856334443,neg
WWP2,0.09563691856334443,neg
GCHFR,0.10448832952029281,neg
FAHD2B,0.10551072989654274,neg
HOXA1,0.10757933211919084,pos
SPRY4,0.10967992106003373,neg
IGF2BP1,0.1107423045541074,pos
TMEM199,0.11507330514438742,neg
EPM2AIP1,0.11617660816972934,neg
FAF1,0.11840813707453551,neg
C19orf44,0.12413405767093971,neg
YWHAB,0.12413405767093971,pos
EEF1AKMT3,0.12648403114630977,neg
CD52,0.126987069760232,pos
TYW1,0.12767193513229003,neg
SLAMF7,0.12886849847081105,neg
HEXIM2,0.13128774596401407,neg
INSL3,0.13251050115162116,neg
MUC16,0.13251050115162116,neg
TSFM,0.13374205775074535,neg
USP1,0.13374205775074535,neg
CD3E,0.134982450916018,pos
CENPO,0.134982450916018,neg
TCF19,0.134982450916018,neg
CTBP2,0.1362317156511109,neg
ELMO3,0.1400330869745332,neg
IL5RA,0.1439155473340957,pos
CYP27B1,0.14522787974726054,neg
MAD2L2,0.14921988522113078,neg
TNFRSF10A,0.15056900079084384,pos
NEMP1,0.15192739492375743,neg
CDC6,0.15329510034105218,pos
MS4A7,0.15467214956340844,pos
RAB25,0.1560585749074096,neg
MCPH1,0.1616986764861741,neg
MED10,0.16313245979119817,pos
CTNNBL1,0.16749132581771797,pos
BIN3,0.1689635550389348,pos
PINX1,0.1689635550389348,neg
