	Genes	Median scores
0	AAR2	-0.012809501000000001
1	ABCF1	-0.9935423809999999
2	ACAP1	-0.0662585785
3	ACTL8	0.07816767799999999
4	ADAM28	0.119648459
5	ADGRF1	0.032167032
6	ADRA2B	-0.0970128055
7	AGPAT3	0.0283546645
8	AKNA	-0.0589121635
9	AKR1A1	0.0583472935
10	ALCAM	-0.0707492305
11	ALDH2	0.036513994
12	ALOX12B	0.029580222
13	ALOXE3	-0.08410268600000001
14	AMPD3	-0.0162303285
15	ANKLE1	-0.045473279
16	ANKRD44	-0.031830122
17	AP1M2	-0.0057877655
18	AP5Z1	-0.024641971
19	APOBEC4	-0.0644854925
20	ARFGAP1	0.046939138500000005
21	ARHGAP11A	-0.344729356
22	ARMC3	0.07855892049999999
23	ARSD	0.317539968
24	ASMT	-0.194301719
25	ASPM	-0.3503308625
26	ATAD2	-0.1785447625
27	ATP6V1B2	-1.8127578585
28	ATP9B	-0.044651510000000005
29	AURKA	-1.1603294124999999
30	AVIL	-0.142838183
31	BCL2L15	-0.089140152
32	BCR	0.033357933
33	BET1	-0.3171561455
34	BHLHA15	-0.115271372
35	BICDL2	-0.1642631675
36	BIN3	0.1758664755
37	BLM	-0.3287226295
38	BRD9	0.0144057745
39	BSPRY	0.11699437800000001
40	BUB1	-0.8133952040000001
41	C10orf95	-0.184384155
42	C11orf16	0.0926660495
43	C16orf54	0.0148209525
44	C19orf44	-0.149173336
45	C1orf112	-0.0632048605
46	C1orf210	0.051874848
47	C1orf52	-0.138769406
48	C20orf27	-0.009111043499999999
49	C20orf85	-0.023116616
50	C2orf74	-0.18180088
51	C5orf34	0.0098014595
52	C6orf118	0.12357904950000001
53	C8orf58	-0.000994398
54	CALU	0.0988540985
55	CARD16	-0.052107732000000004
56	CASP1	0.022638419
57	CAVIN4	0.0433460565
58	CBLC	-0.06613504249999999
59	CBX7	0.0373385515
60	CCAR1	-0.738240021
61	CCDC127	0.0998558745
62	CCDC150	0.025961709
63	CCDC152	0.142230978
64	CCDC17	-0.15294105749999998
65	CCDC170	0.151050485
66	CCDC25	-0.0469273875
67	CCDC6	-0.20152233349999998
68	CCNB2	-0.0586289505
69	CCR2	0.0100018045
70	CCR4	-0.041337957
71	CCR5	0.0474136765
72	CCR8	0.16332304250000002
73	CCT2	-1.417357811
74	CCT6A	-1.5399644745
75	CD163	-0.058282987
76	CD2	-0.0719819955
77	CD27	0.07062569099999999
78	CD3D	-0.22607969249999998
79	CD3E	0.084768534
80	CD3G	0.0826765045
81	CD40LG	0.093055251
82	CD48	-0.0576337675
83	CD5	-0.119084681
84	CD52	-0.0744236825
85	CD6	-0.06317278
86	CDC20	-2.01241061
87	CDC25A	-0.342708352
88	CDC25B	-0.3124750635
89	CDC42SE2	0.0047563755
90	CDC45	-2.2179977644999997
91	CDC6	-1.4021882545
92	CDCA2	-0.124754812
93	CDCA5	-0.9235024985
94	CDCA8	-1.3776847700000001
95	CDHR4	-0.1027103635
96	CDK1	-2.4695887515
97	CDK4	-0.6304737995
98	CENPF	-0.281203363
99	CENPL	-0.6618804005000001
100	CENPN	-1.281372831
101	CENPO	-0.1534584685
102	CERT1	-0.092235046
103	CFAP126	-0.029339731
104	C1orf194	-0.16122664949999999
105	CFAP65	0.07780891300000001
106	CFAP74	-0.037597946
107	CFAP77	-0.19805616450000002
108	CFLAR	-0.5252755204999999
109	CFTR	0.038769819
110	CHAF1A	-1.1046910835000001
111	CHCHD2	-0.42992072800000003
112	CHEK1	-1.8187372284999999
113	CHMP4C	-0.073686984
114	CHMP7	-0.7152920205
115	CIB1	0.0733679515
116	CKAP2L	-0.196754072
117	CKS1B	-0.6485636459999999
118	CLDN4	0.0070188435
119	CLDN7	-0.04397514600000001
120	CLIC5	0.1051585745
121	CLNK	-0.0079408555
122	CNDP2	0.0351170475
123	CNFN	-0.222850823
124	CNKSR1	0.030878487000000003
125	CNOT2	-0.368661455
